City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,selfoss,63.9331,-20.9971,-3.34,72,88,6.17,IS,1707687878
121,ola,59.5833,151.2833,-22.94,88,100,2.99,RU,1707687878
122,kalmunai,7.4167,81.8167,24.57,84,48,3.58,LK,1707687878
123,tubarjal,30.4999,38.216,11.75,63,22,4.32,SA,1707687878
124,alajarvi,63.0,23.8167,-18.04,98,17,2.2,FI,1707687878
125,ushachy,55.1786,28.6035,0.28,98,100,3.19,BY,1707687878
126,coruripe,-10.1256,-36.1756,26.5,83,100,4.68,BR,1707687878
127,porto novo,6.4965,2.6036,28.9,86,77,3.47,BJ,1707687878
128,south upi,6.8333,124.15,22.94,70,8,5.47,PH,1707687878
129,tralee,52.2704,-9.7026,4.34,81,83,3.84,IE,1707687878
130,baihe,22.15,107.2333,12.9,57,9,0.6,CN,1707687879
131,afaahiti,-17.75,-149.2833,27.93,88,96,10.96,PF,1707687879
132,sinjar,36.3209,41.8754,11.54,67,0,2.21,IQ,1707687879
133,enewetak,11.3474,162.3373,26.43,75,100,9.97,MH,1707687879
134,whitehorse,60.7161,-135.0538,-0.57,66,100,6.17,CA,1707687879
135,ilulissat,69.2167,-51.1,-16.99,71,100,4.12,GL,1707687879
136,kununurra,-15.7667,128.7333,24.99,94,40,1.54,AU,1707687879
137,lagoa,39.05,-27.9833,16.2,82,1,11.96,PT,1707687879
138,hermanus,-34.4187,19.2345,20.01,74,11,5.02,ZA,1707687879
139,lihue,21.9789,-159.3672,25.97,70,75,3.6,US,1707687879
140,durant,33.994,-96.3708,7.95,94,100,6.17,US,1707687879
141,port elizabeth,-33.918,25.5701,21.17,83,0,6.69,ZA,1707687880
142,nova sintra,14.8667,-24.7167,20.86,75,0,3.28,CV,1707687880
143,san andres,12.5847,-81.7006,29.01,74,20,6.17,CO,1707687732
144,qaqortoq,60.7167,-46.0333,-18.98,80,86,2.75,GL,1707687880
145,gorom-gorom,14.4439,-0.2361,26.39,8,0,3.33,BF,1707687880
146,baotou,40.6522,109.8222,-10.63,93,11,1.31,CN,1707687880
147,san rafael,-34.6177,-68.3301,33.85,30,1,3.59,AR,1707687880
148,fort st. john,56.2499,-120.8529,2.94,44,75,4.12,CA,1707687880
149,suklayin,15.7574,121.5503,20.8,91,100,5.48,PH,1707687880
150,schwanewede,53.2333,8.6,8.36,99,100,1.33,DE,1707687880
151,khandyga,62.6667,135.6,-38.49,97,40,1.27,RU,1707687880
152,riverside,33.7333,-116.0508,16.16,21,0,1.54,US,1707687447
153,ugoofaaru,5.6667,73.0,27.76,72,99,4.95,MV,1707687881
154,saint-philippe,-21.3585,55.7679,26.77,89,37,4.31,RE,1707687881
155,nouadhibou,20.931,-17.0347,21.99,68,0,6.17,MR,1707687881
156,dudinka,69.4058,86.1778,-34.07,97,25,0.89,RU,1707687881
157,papatowai,-46.5619,169.4708,14.54,60,100,5.04,NZ,1707687881
158,gadzhiyevo,69.2551,33.3362,-17.85,97,100,2.68,RU,1707687881
159,nagqu,31.5,92.0,-12.93,60,100,1.74,CN,1707687881
160,chernushka,56.5072,56.0766,-20.32,100,100,2.34,RU,1707687882
161,kiunga,-6.1219,141.2906,23.66,98,100,0.48,PG,1707687882
